,Unnamed: 0,Date,Station,Rainfall (mm),Temperature (°C),Humidity (%),Wind Speed (km/h),Precipitation Type
0,0,1/1/2023,Kathmandu,38.47,31.8,76,1.3,Snow
1,1,1/2/2023,Kathmandu,77.76,12.0,60,1.7,
2,2,1/3/2023,Kathmandu,68.51,16.4,88,2.9,Snow
3,3,1/4/2023,Kathmandu,74.29,29.2,100,17.6,Drizzle
4,4,1/5/2023,Kathmandu,15.39,34.9,67,9.2,Drizzle
5,5,1/6/2023,Kathmandu,44.88,34.4,50,8.6,
6,6,1/7/2023,Kathmandu,49.45,21.7,87,17.9,Snow
7,7,1/8/2023,Kathmandu,30.0,27.6,91,9.1,Drizzle
8,8,1/9/2023,Kathmandu,5.51,20.6,71,10.8,
9,9,1/10/2023,Kathmandu,0.0,26.0,76,8.0,Snow
10,10,1/11/2023,Kathmandu,0.0,32.3,66,4.5,Rain
11,11,1/12/2023,Kathmandu,92.59,31.4,50,8.7,
12,12,1/13/2023,Kathmandu,0.0,14.6,66,12.6,Drizzle
13,13,1/14/2023,Kathmandu,24.65,13.4,94,12.7,Drizzle
14,14,1/15/2023,Kathmandu,22.43,14.9,57,18.5,Rain
15,15,1/16/2023,Kathmandu,96.87,20.7,44,13.0,Rain
16,16,1/17/2023,Kathmandu,0.0,13.4,100,8.1,
17,17,1/18/2023,Kathmandu,0.0,24.9,70,5.0,Drizzle
18,18,1/19/2023,Kathmandu,16.67,22.2,74,7.8,Snow
19,19,1/20/2023,Kathmandu,63.81999999999999,19.3,56,2.7,Rain
20,20,1/21/2023,Kathmandu,45.05,23.7,56,16.1,Rain
21,21,1/22/2023,Kathmandu,69.87,21.4,62,3.2,Rain
22,22,1/23/2023,Kathmandu,45.11,18.6,69,2.5,Snow
23,23,1/24/2023,Kathmandu,13.26,13.7,45,0.9,Snow
24,24,1/25/2023,Kathmandu,0.0,31.9,60,18.3,Snow
25,25,1/26/2023,Kathmandu,5.58,28.5,53,8.6,Drizzle
26,26,1/27/2023,Kathmandu,0.0,32.6,50,18.8,Drizzle
27,27,1/28/2023,Kathmandu,0.0,17.6,94,11.1,Snow
28,28,1/29/2023,Kathmandu,0.0,12.5,53,1.6,Snow
29,29,1/30/2023,Kathmandu,0.0,23.4,94,19.2,Snow
30,30,1/31/2023,Kathmandu,0.0,24.8,95,17.0,Drizzle
31,31,2/1/2023,Kathmandu,11.85,34.7,44,0.8,Snow
32,32,2/2/2023,Kathmandu,93.01,12.3,58,11.6,Drizzle
33,33,2/3/2023,Kathmandu,0.0,25.2,44,16.6,Rain
34,34,2/4/2023,Kathmandu,78.95,15.0,45,11.1,Rain
35,35,2/5/2023,Kathmandu,36.55,10.2,59,16.2,Snow
36,36,2/6/2023,Kathmandu,52.19,30.7,70,3.7,Snow
37,37,2/7/2023,Kathmandu,26.92,17.4,41,4.3,Snow
38,38,2/8/2023,Kathmandu,79.02,33.6,75,6.8,Rain
39,39,2/9/2023,Kathmandu,0.0,28.4,87,13.3,Snow
40,40,2/10/2023,Kathmandu,0.0,18.0,86,7.2,Drizzle
41,41,2/11/2023,Kathmandu,60.42,34.0,96,16.3,Snow
42,42,2/12/2023,Kathmandu,78.4,12.2,50,9.8,Drizzle
43,43,2/13/2023,Kathmandu,65.66,21.8,89,0.5,Rain
44,44,2/14/2023,Kathmandu,37.79,17.2,55,18.9,Drizzle
45,45,2/15/2023,Kathmandu,93.46,21.1,44,17.7,Rain
46,46,2/16/2023,Kathmandu,92.41,16.8,53,9.3,
47,47,2/17/2023,Kathmandu,0.0,19.3,83,17.4,Drizzle
48,48,2/18/2023,Kathmandu,8.83,25.6,94,11.8,Rain
49,49,2/19/2023,Kathmandu,89.64,31.8,78,17.8,Rain
50,50,2/20/2023,Kathmandu,43.05,22.5,82,7.3,Snow
51,51,2/21/2023,Kathmandu,0.0,26.1,57,8.6,
52,52,2/22/2023,Kathmandu,49.86,24.9,64,13.3,Drizzle
53,53,2/23/2023,Kathmandu,23.25,20.6,64,0.7,Drizzle
54,54,2/24/2023,Kathmandu,0.0,25.7,54,13.6,Drizzle
55,55,2/25/2023,Kathmandu,0.0,32.6,72,11.6,Snow
56,56,2/26/2023,Kathmandu,88.42,25.2,55,19.1,Snow
57,57,2/27/2023,Kathmandu,66.59,27.0,84,6.3,
58,58,2/28/2023,Kathmandu,0.0,21.1,82,6.7,
59,59,3/1/2023,Kathmandu,81.98,14.7,88,7.0,
60,60,3/2/2023,Kathmandu,44.88,13.3,91,11.7,Drizzle
61,61,3/3/2023,Kathmandu,86.64,15.9,90,11.3,Rain
62,62,3/4/2023,Kathmandu,0.0,20.0,46,14.0,
63,63,3/5/2023,Kathmandu,36.91,14.5,76,15.0,
64,64,3/6/2023,Kathmandu,0.0,21.6,69,8.2,Rain
65,65,3/7/2023,Kathmandu,23.0,25.1,41,7.1,
66,66,3/8/2023,Kathmandu,0.0,17.0,79,7.1,Snow
67,67,3/9/2023,Kathmandu,14.43,18.9,84,7.0,Rain
68,68,3/10/2023,Kathmandu,0.0,25.6,73,1.9,
69,69,3/11/2023,Kathmandu,50.85,29.2,77,11.9,Rain
70,70,3/12/2023,Kathmandu,59.95,32.2,89,9.3,
71,71,3/13/2023,Kathmandu,22.39,26.9,49,7.6,Drizzle
72,72,3/14/2023,Kathmandu,0.0,19.3,87,7.2,Drizzle
73,73,3/15/2023,Kathmandu,44.22,10.6,46,3.0,Rain
74,74,3/16/2023,Kathmandu,39.35,29.0,48,9.0,Rain
75,75,3/17/2023,Kathmandu,89.03,20.2,47,16.0,Rain
76,76,3/18/2023,Kathmandu,0.0,25.4,52,10.5,Snow
77,77,3/19/2023,Kathmandu,17.89,30.9,84,5.8,Drizzle
78,78,3/20/2023,Kathmandu,0.0,23.4,42,4.0,Rain
79,79,3/21/2023,Kathmandu,0.0,16.5,68,0.8,
80,80,3/22/2023,Kathmandu,15.18,31.6,81,17.9,Rain
81,81,3/23/2023,Kathmandu,0.0,27.4,89,13.2,Snow
82,82,3/24/2023,Kathmandu,0.0,26.8,54,0.7,Snow
83,83,3/25/2023,Kathmandu,0.0,12.5,91,14.6,Drizzle
84,84,3/26/2023,Kathmandu,92.24,11.6,96,15.8,Drizzle
85,85,3/27/2023,Kathmandu,0.0,24.6,89,1.3,Snow
86,86,3/28/2023,Kathmandu,2.7699999999999996,27.7,69,11.7,Rain
87,87,3/29/2023,Kathmandu,15.030000000000001,25.4,92,12.5,
88,88,3/30/2023,Kathmandu,83.14,15.4,50,6.9,Snow
89,89,3/31/2023,Kathmandu,2.38,32.7,80,14.8,Rain
90,90,4/1/2023,Kathmandu,62.97,33.7,66,6.4,Rain
91,91,4/2/2023,Kathmandu,39.48,23.6,84,16.8,Snow
92,92,4/3/2023,Kathmandu,8.83,12.5,56,14.3,Rain
93,93,4/4/2023,Kathmandu,0.0,29.1,64,19.8,Drizzle
94,94,4/5/2023,Kathmandu,0.0,27.3,68,17.5,Snow
95,95,4/6/2023,Kathmandu,2.8200000000000003,32.1,40,8.7,
96,96,4/7/2023,Kathmandu,1.4100000000000001,23.3,49,3.0,Snow
97,97,4/8/2023,Kathmandu,99.25,23.1,69,6.8,Rain
98,98,4/9/2023,Kathmandu,0.0,33.9,70,7.7,
99,99,4/10/2023,Kathmandu,0.0,26.6,70,0.9,Drizzle
100,100,4/11/2023,Kathmandu,2.09,26.9,72,18.6,Rain
101,101,4/12/2023,Kathmandu,1.85,10.3,42,19.5,Snow
102,102,4/13/2023,Kathmandu,94.66,28.9,86,2.3,Rain
103,103,4/14/2023,Kathmandu,0.0,31.4,58,6.2,Drizzle
104,104,4/15/2023,Kathmandu,0.0,13.1,47,2.6,Rain
105,105,4/16/2023,Kathmandu,24.77,21.3,76,12.8,Drizzle
106,106,4/17/2023,Kathmandu,5.8,13.2,62,13.2,
107,107,4/18/2023,Kathmandu,57.08,12.1,78,10.9,Rain
108,108,4/19/2023,Kathmandu,46.59,27.1,58,4.5,Drizzle
109,109,4/20/2023,Kathmandu,0.0,13.3,52,0.2,Rain
110,110,4/21/2023,Kathmandu,0.0,28.9,99,15.1,Snow
111,111,4/22/2023,Kathmandu,0.0,34.8,77,12.7,Rain
112,112,4/23/2023,Kathmandu,11.12,25.8,77,13.7,Drizzle
113,113,4/24/2023,Kathmandu,98.02,23.3,68,17.5,Drizzle
114,114,4/25/2023,Kathmandu,42.33,21.6,72,18.1,Rain
115,115,4/26/2023,Kathmandu,0.0,20.4,79,8.2,Rain
116,116,4/27/2023,Kathmandu,0.0,21.5,65,5.2,
117,117,4/28/2023,Kathmandu,55.04,31.5,94,4.2,Snow
118,118,4/29/2023,Kathmandu,37.79,33.9,45,5.0,Drizzle
119,119,4/30/2023,Kathmandu,0.0,13.3,60,16.4,
120,120,5/1/2023,Kathmandu,0.0,24.6,44,8.3,Rain
121,121,5/2/2023,Kathmandu,46.45,32.2,48,1.1,Rain
122,122,5/3/2023,Kathmandu,0.0,30.0,70,6.3,
123,123,5/4/2023,Kathmandu,91.67,16.8,67,12.0,Snow
124,124,5/5/2023,Kathmandu,0.0,26.3,50,17.8,Snow
125,125,5/6/2023,Kathmandu,0.0,11.4,73,12.5,Snow
126,126,5/7/2023,Kathmandu,0.0,11.6,84,15.6,Snow
127,127,5/8/2023,Kathmandu,41.72,17.7,70,7.5,
128,128,5/9/2023,Kathmandu,0.0,20.8,81,8.8,Snow
129,129,5/10/2023,Kathmandu,0.0,24.4,63,1.4,Drizzle
130,130,5/11/2023,Kathmandu,93.23,11.7,69,6.4,Snow
131,131,5/12/2023,Kathmandu,0.0,30.6,64,13.1,
132,132,5/13/2023,Kathmandu,7.99,11.3,40,6.3,Snow
133,133,5/14/2023,Kathmandu,89.25,34.2,72,6.0,Rain
134,134,5/15/2023,Kathmandu,4.19,27.5,41,4.2,
